Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
366,input/WOFF\Firefox 2023-05-22 11.04 profile(1).json,29387259,4644.372093023256,0.002631470833,165.422,88.269,126.763,126.768
367,input/WOFF\Firefox 2023-05-22 11.04 profile(2).json,28969250,6100.982035928144,0.002556995833,164.799,116.571,124.812,132.657
368,input/WOFF\Firefox 2023-05-22 11.04 profile.json,29438721,3699.1284916201116,0.002819304167,180.603,117.796,129.377,142.158
369,input/WOFF\Firefox 2023-05-22 11.05 profile(1).json,29030232,8339.7,0.002688095833,165.929,104.207,108.101,127.597
370,input/WOFF\Firefox 2023-05-22 11.05 profile.json,28413849,3170.24,0.0029839124999999998,190.694,93.131,143.265,149.401
371,input/WOFF\Firefox 2023-05-22 11.06 profile(1).json,29274601,6092.8,0.0030642916669999997,187.339,117.007,125.425,142.584
372,input/WOFF\Firefox 2023-05-22 11.06 profile(2).json,27723456,8630.444444444445,0.0026649875,166.003,103.114,117.41,126.418
373,input/WOFF\Firefox 2023-05-22 11.06 profile.json,29626114,6030.12865497076,0.002754883333,173.77,105.218,124.272,135.418
374,input/WOFF\Firefox 2023-05-22 11.07 profile(1).json,29057298,4070.6341463414633,0.002763916666,175.357,112.373,122.522,134.924
375,input/WOFF\Firefox 2023-05-22 11.07 profile.json,27960670,9749.751633986929,0.002513416666,158.021,97.535,114.893,120.257
376,input/WOFF\Firefox 2023-05-22 11.08 profile(1).json,28731602,5150.5,0.0025422625,163.016,95.982,111.14,120.968
377,input/WOFF\Firefox 2023-05-22 11.08 profile.json,28439382,5696.08988764045,0.0031370875,191.248,124.898,143.532,150.118
378,input/WOFF\Firefox 2023-05-22 11.09 profile.json,29152745,4161.727272727273,0.0028398125,178.384,95.822,121.619,133.595
379,input/WOFF\Firefox 2023-05-22 11.10 profile(1).json,28230303,4870.245989304813,0.002797779166,179.975,103.118,129.037,142.988
380,input/WOFF\Firefox 2023-05-22 11.10 profile(2).json,29749213,4360.648648648648,0.002917616666,177.479,90.319,123.855,135.266
381,input/WOFF\Firefox 2023-05-22 11.10 profile.json,27099318,5984.095808383234,0.002769316667,173.822,122.17,123.371,134.186
382,input/WOFF\Firefox 2023-05-22 11.11 profile(1).json,29157413,12078.32679738562,0.002687091666,162.205,91.839,107.514,122.535
383,input/WOFF\Firefox 2023-05-22 11.11 profile.json,29131662,3971.640718562874,0.002936383334,180.462,117.305,127.463,141.486
384,input/WOFF\Firefox 2023-05-22 11.12 profile.json,28980465,8037.257142857143,0.0023153416669999998,154.955,88.429,103.348,118.429
385,input/WOFF\Firefox 2023-05-22 11.13 profile(1).json,29267392,5132.886486486486,0.0029459166669999997,182.398,108.996,121.935,139.893
386,input/WOFF\Firefox 2023-05-22 11.13 profile.json,28418914,8545.113924050633,0.0026418,160.591,97.213,114.681,121.375
387,input/WOFF\Firefox 2023-05-22 11.14 profile(1).json,28744490,5431.829787234043,0.003193845833,189.332,108.556,141.088,151.081
388,input/WOFF\Firefox 2023-05-22 11.14 profile(2).json,29094489,7175.852760736197,0.0027280875,164.604,95.713,109.74,122.619
389,input/WOFF\Firefox 2023-05-22 11.14 profile.json,29500093,6552.539325842697,0.003132058334,191.657,120.437,136.469,150.237
390,input/WOFF\Firefox 2023-05-22 11.15 profile(1).json,27471212,6708.136054421769,0.002654025,163.07,105.389,120.908,120.18
391,input/WOFF\Firefox 2023-05-22 11.15 profile.json,28531428,7020.223602484472,0.0026628458339999998,165.091,105.997,112.747,128.075
392,input/WOFF\Firefox 2023-05-22 11.16 profile(1).json,29426918,6640.421052631579,0.002576920833,159.907,90.396,108.875,120.526
393,input/WOFF\Firefox 2023-05-22 11.16 profile(2).json,27754618,6526.745098039216,0.002441891667,162.854,99.79,116.883,120.475
394,input/WOFF\Firefox 2023-05-22 11.16 profile.json,29216015,5905.652173913043,0.0026622,182.769,97.267,136.582,145.267
395,input/WOFF\Firefox 2023-05-22 11.17 profile(1).json,29275139,6384.911392405063,0.0026275125,161.388,98.507,109.782,120.508
396,input/WOFF\Firefox 2023-05-22 11.18 profile(1).json,29402343,6314.148571428572,0.0028004749999999998,177.616,112.444,130.764,142.147
397,input/WOFF\Firefox 2023-05-22 11.18 profile(2).json,29851486,4449.454545454545,0.003492575,219.59,122.594,168.259,173.041
398,input/WOFF\Firefox 2023-05-22 11.18 profile.json,30035380,5277.920903954802,0.0027160083339999998,166.448,99.897,115.648,129.94
399,input/WOFF\Firefox 2023-05-22 11.19 profile.json,29205111,6678.636363636364,0.0027943125,174.354,103.14,123.069,133.277
400,input/WOFF\Firefox 2023-05-22 11.28 profile(1).json,30026008,4861.50289017341,0.003259029167,193.685,120.6,136.746,151.032
401,input/WOFF\Firefox 2023-05-22 11.28 profile.json,26343916,10479.105590062112,0.002732154166,169.564,95.498,114.228,126.388
402,input/WOFF\Firefox 2023-05-22 11.29 profile(1).json,28945212,7462.828025477707,0.002624770834,162.838,101.563,125.674,125.074
403,input/WOFF\Firefox 2023-05-22 11.29 profile(2).json,28407214,7920.972972972973,0.002888916666,173.397,101.798,119.243,131.5
404,input/WOFF\Firefox 2023-05-22 11.29 profile.json,29048700,7384.352201257861,0.0029333,175.289,109.158,122.733,135.693
405,input/WOFF\Firefox 2023-05-22 11.30 profile(1).json,27525412,4622.040816326531,0.002573695834,173.448,114.523,126.652,137.896
406,input/WOFF\Firefox 2023-05-22 11.30 profile.json,29445194,8835.017142857143,0.0028622499999999998,178.442,113.307,124.431,138.85
407,input/WOFF\Firefox 2023-05-22 11.31 profile(1).json,28739933,6514.061349693252,0.0025739291659999997,167.497,72.797,116.524,124.057
408,input/WOFF\Firefox 2023-05-22 11.31 profile.json,28938054,8432.0,0.003103554166,191.754,117.491,135.47,152.449
409,input/WOFF\Firefox 2023-05-22 11.32 profile(1).json,28619742,6220.497041420118,0.002786241667,175.458,109.086,124.943,135.313
410,input/WOFF\Firefox 2023-05-22 11.33 profile(1).json,26953345,5049.2,0.003265045834,201.237,121.666,158.062,153.651
411,input/WOFF\Firefox 2023-05-22 11.33 profile(2).json,29151219,7337.4,0.002545458333,162.792,93.946,117.81,123.4
412,input/WOFF\Firefox 2023-05-22 11.33 profile.json,28842829,7427.783783783784,0.002493495834,163.477,103.228,117.576,130.969
413,input/WOFF\Firefox 2023-05-22 11.34 profile(1).json,28876836,5814.232558139535,0.0030236625,184.41,112.657,131.985,143.496
414,input/WOFF\Firefox 2023-05-22 11.34 profile.json,27934646,6324.515337423313,0.002638954167,169.35,90.025,118.592,129.592
415,input/WOFF\Firefox 2023-05-22 11.35 profile(1).json,29203105,6146.521212121213,0.0030774083339999998,180.02,111.352,136.043,132.929
416,input/WOFF\Firefox 2023-05-22 11.35 profile(2).json,30015635,7715.770114942528,0.002955358333,184.857,116.14,130.413,144.829
417,input/WOFF\Firefox 2023-05-22 11.35 profile.json,29189645,3960.323699421965,0.002920741667,175.298,108.66,123.547,135.733
418,input/WOFF\Firefox 2023-05-22 11.36 profile(1).json,27767941,4380.987012987013,0.002673283333,166.493,98.1,107.858,124.041
419,input/WOFF\Firefox 2023-05-22 11.36 profile.json,26946898,7353.9047619047615,0.002728983334,170.49,120.433,120.722,126.764
420,input/WOFF\Firefox 2023-05-22 11.37 profile(1).json,28706490,5182.168674698795,0.002880404166,184.513,123.646,132.83,144.572
421,input/WOFF\Firefox 2023-05-22 11.37 profile(2).json,28182294,5788.331210191082,0.0027006625,171.36,96.534,117.881,131.387
422,input/WOFF\Firefox 2023-05-22 11.37 profile.json,29142048,8701.88679245283,0.00308495,197.109,110.391,136.382,154.758
423,input/WOFF\Firefox 2023-05-22 11.38 profile(1).json,29181581,6795.098265895954,0.002915845833,183.277,112.844,133.21,145.235
424,input/WOFF\Firefox 2023-05-22 11.38 profile.json,28599375,7989.12,0.002510120833,160.391,98.516,124.044,129.335
425,input/WOFF\Firefox 2023-05-22 11.39 profile(1).json,29349927,7971.90243902439,0.0024432374999999997,168.37,97.341,109.975,128.465
426,input/WOFF\Firefox 2023-05-22 11.39 profile(2).json,27473820,7845.578947368421,0.0026601875,160.029,87.594,102.438,121.448
427,input/WOFF\Firefox 2023-05-22 11.39 profile.json,27702233,5095.101123595506,0.003005729167,181.287,114.445,131.196,140.618
428,input/WOFF\Firefox 2023-05-22 11.40 profile(1).json,27092048,9437.134328358208,0.002300908334,155.119,86.198,112.8,115.711
429,input/WOFF\Firefox 2023-05-22 11.40 profile.json,27936656,8832.111888111887,0.0025024,161.358,101.996,110.712,123.14
430,input/WOFF\Firefox 2023-05-22 11.41 profile(1).json,28075488,5140.109289617486,0.002989745833,189.4,96.171,127.401,150.303
431,input/WOFF\Firefox 2023-05-22 11.41 profile(2).json,29203354,4664.971098265896,0.0025679125,168.246,98.18,127.289,128.345
